stasiun_id,horizon,definition,method,tp,fp,fn,f1,csi,pod,far,n_obs_hours
170,6,siaga3,persistence,860,1001,1007,0.4613733905579399,0.299860529986053,0.4606320299946438,0.53788285867813,1867
170,12,p95,lstm,65,13,3126,0.039767513000917715,0.02028714107365793,0.020369790034471952,0.16666666666666666,3191
170,12,p95,persistence,1729,1454,1462,0.5425164731722624,0.3722282023681378,0.5418364149169539,0.45680175934652845,3191
170,12,rise,lstm,7,12,315,0.04105571847507331,0.020958083832335328,0.021739130434782608,0.631578947368421,322
170,12,rise,persistence,46,171,276,0.17068645640074212,0.09330628803245436,0.14285714285714285,0.7880184331797235,322
170,12,siaga3,lstm,0,0,1863,0.0,0.0,0.0,,1863
170,12,siaga3,persistence,568,1288,1295,0.30545845657434795,0.1802602348460806,0.3048845947396672,0.6939655172413793,1863
170,24,p95,lstm,179,35,3001,0.10548025928108426,0.05567651632970451,0.05628930817610063,0.16355140186915887,3180
170,24,p95,persistence,2423,758,757,0.7618299009589687,0.6152869476891824,0.7619496855345912,0.23828984596038982,3180
170,24,rise,lstm,7,18,287,0.0438871473354232,0.022435897435897436,0.023809523809523808,0.72,294
170,24,rise,persistence,33,138,261,0.14193548387096774,0.0763888888888889,0.11224489795918367,0.8070175438596491,294
170,24,siaga3,lstm,1,2,1857,0.0010746910263299302,0.0005376344086021505,0.0005382131324004305,0.6666666666666666,1858
170,24,siaga3,persistence,1040,816,818,0.5600430802369413,0.3889304412864622,0.5597416576964478,0.4396551724137931,1858
179,1,p95,lstm,4181,79,1061,0.8800252578404546,0.7857545574140199,0.7975963372758489,0.018544600938967135,5242
179,1,p95,persistence,4786,274,456,0.9291399728208115,0.8676577229876722,0.9130103014116749,0.0541501976284585,5242
179,1,rise,lstm,185,41,594,0.3681592039800995,0.22560975609756098,0.2374839537869063,0.18141592920353983,779
179,1,rise,persistence,496,187,283,0.6785225718194254,0.5134575569358178,0.6367137355584083,0.27379209370424595,779
179,1,siaga3,lstm,0,0,648,0.0,0.0,0.0,,648
179,1,siaga3,persistence,485,100,163,0.786699107866991,0.6483957219251337,0.7484567901234568,0.17094017094017094,648
179,6,p95,lstm,271,130,4950,0.09640697260761295,0.05064473930106522,0.05190576517908447,0.32418952618453867,5221
179,6,p95,persistence,3862,1195,1359,0.7515080755010702,0.601932668329177,0.7397050373491668,0.23630611034210006,5221
179,6,rise,lstm,91,63,692,0.19423692636072573,0.10756501182033097,0.11621966794380588,0.4090909090909091,783
179,6,rise,persistence,118,557,665,0.16186556927297668,0.0880597014925373,0.15070242656449553,0.8251851851851851,783
179,6,siaga3,lstm,0,0,644,0.0,0.0,0.0,,644
179,6,siaga3,persistence,168,417,476,0.27339300244100895,0.1583411875589067,0.2608695652173913,0.7128205128205128,644
179,12,p95,lstm,1226,86,3986,0.37584304107909255,0.2314080785201963,0.23522640061396777,0.06554878048780488,5212
179,12,p95,persistence,3446,1580,1766,0.6731783551474897,0.5073616018845701,0.6611665387567153,0.3143653004377238,5212
179,12,rise,lstm,111,28,639,0.24971878515185603,0.14267352185089974,0.148,0.2014388489208633,750
179,12,rise,persistence,60,590,690,0.08571428571428572,0.04477611940298507,0.08,0.9076923076923077,750
179,12,siaga3,lstm,0,0,653,0.0,0.0,0.0,,653
179,12,siaga3,persistence,59,516,594,0.09609120521172639,0.0504704875962361,0.0903522205206738,0.8973913043478261,653
