stasiun_id,horizon,level,method,tp,fp,fn,f1,csi,pod,far,n_obs_hours
167,6,siaga3,persistence,16,12,12,0.5714285714285714,0.4,0.5714285714285714,0.42857142857142855,28
167,12,siaga2,lstm,0,0,11,0.0,0.0,0.0,,11
167,12,siaga2,persistence,0,11,11,0.0,0.0,0.0,1.0,11
167,12,siaga3,lstm,0,0,28,0.0,0.0,0.0,,28
167,12,siaga3,persistence,5,23,23,0.17857142857142858,0.09803921568627451,0.17857142857142858,0.8214285714285714,28
167,24,siaga2,lstm,0,0,11,0.0,0.0,0.0,,11
167,24,siaga2,persistence,0,11,11,0.0,0.0,0.0,1.0,11
167,24,siaga3,lstm,0,0,28,0.0,0.0,0.0,,28
167,24,siaga3,persistence,0,28,28,0.0,0.0,0.0,1.0,28
169,1,siaga2,lstm,0,0,7,0.0,0.0,0.0,,7
169,1,siaga2,persistence,5,2,2,0.7142857142857143,0.5555555555555556,0.7142857142857143,0.2857142857142857,7
169,1,siaga3,lstm,58,17,25,0.7341772151898734,0.58,0.6987951807228916,0.22666666666666666,83
169,1,siaga3,persistence,58,25,25,0.6987951807228916,0.5370370370370371,0.6987951807228916,0.30120481927710846,83
169,6,siaga2,lstm,0,0,7,0.0,0.0,0.0,,7
169,6,siaga2,persistence,0,7,7,0.0,0.0,0.0,1.0,7
169,6,siaga3,lstm,0,0,83,0.0,0.0,0.0,,83
169,6,siaga3,persistence,11,72,72,0.13253012048192772,0.07096774193548387,0.13253012048192772,0.8674698795180723,83
169,12,siaga2,lstm,0,0,7,0.0,0.0,0.0,,7
169,12,siaga2,persistence,0,7,7,0.0,0.0,0.0,1.0,7
169,12,siaga3,lstm,0,0,83,0.0,0.0,0.0,,83
169,12,siaga3,persistence,4,79,79,0.04819277108433735,0.024691358024691357,0.04819277108433735,0.9518072289156626,83
169,24,siaga2,lstm,0,0,7,0.0,0.0,0.0,,7
169,24,siaga2,persistence,0,7,7,0.0,0.0,0.0,1.0,7
169,24,siaga3,lstm,0,0,83,0.0,0.0,0.0,,83
169,24,siaga3,persistence,0,83,83,0.0,0.0,0.0,1.0,83
170,1,siaga2,lstm,375,57,237,0.7183908045977011,0.5605381165919282,0.6127450980392157,0.13194444444444445,612
170,1,siaga2,persistence,463,149,149,0.7565359477124183,0.6084099868593955,0.7565359477124183,0.2434640522875817,612
170,1,siaga3,lstm,1571,82,296,0.8926136363636363,0.806054386865059,0.8414568826995179,0.049606775559588624,1867
170,1,siaga3,persistence,1632,229,235,0.8755364806866953,0.7786259541984732,0.874129619710766,0.123052122514777,1867
170,6,siaga2,lstm,48,189,564,0.11307420494699646,0.0599250936329588,0.0784313725490196,0.7974683544303798,612
170,6,siaga2,persistence,145,467,467,0.2369281045751634,0.13438368860055608,0.2369281045751634,0.7630718954248366,612
170,6,siaga3,lstm,586,346,1281,0.41872097177563417,0.26479891549932216,0.3138725227637922,0.37124463519313305,1867
170,6,siaga3,persistence,860,1001,1007,0.4613733905579399,0.299860529986053,0.4606320299946438,0.53788285867813,1867
170,12,siaga2,lstm,0,0,612,0.0,0.0,0.0,,612
170,12,siaga2,persistence,69,543,543,0.11274509803921569,0.05974025974025974,0.11274509803921569,0.8872549019607843,612
170,12,siaga3,lstm,0,0,1863,0.0,0.0,0.0,,1863
