event,stasiun_id,horizon,method,tp,fp,fn,f1,csi,pod,far,n_obs_hours,t_first_obs_exceed,max_lead_hours
E2,179,6,persistence,3,53,56,0.05217391304347826,0.026785714285714284,0.05084745762711865,0.9464285714285714,59,2026-01-11 23:00:00,0.0
E2,179,12,lstm,0,0,59,0.0,0.0,0.0,,59,2026-01-11 23:00:00,0.0
E2,179,12,persistence,0,56,59,0.0,0.0,0.0,1.0,59,2026-01-11 23:00:00,0.0
E2,179,24,lstm,0,0,59,0.0,0.0,0.0,,59,2026-01-11 23:00:00,0.0
E2,179,24,persistence,43,9,16,0.7747747747747747,0.6323529411764706,0.7288135593220338,0.17307692307692307,59,2026-01-11 23:00:00,0.0
E6,179,1,lstm,0,0,0,,,,,0,,
E6,179,1,persistence,0,0,0,,,,,0,,
E6,179,6,lstm,0,0,0,,,,,0,,
E6,179,6,persistence,0,0,0,,,,,0,,
E6,179,12,lstm,0,0,0,,,,,0,,
E6,179,12,persistence,0,0,0,,,,,0,,
E6,179,24,lstm,0,0,0,,,,,0,,
E6,179,24,persistence,0,0,0,,,,,0,,
E7,179,1,lstm,0,0,4,0.0,0.0,0.0,,4,2026-06-03 09:00:00,0.0
E7,179,1,persistence,1,3,3,0.25,0.14285714285714285,0.25,0.75,4,2026-06-03 09:00:00,0.0
E7,179,6,lstm,0,0,4,0.0,0.0,0.0,,4,2026-06-03 09:00:00,0.0
E7,179,6,persistence,0,4,4,0.0,0.0,0.0,1.0,4,2026-06-03 09:00:00,0.0
E7,179,12,lstm,0,0,4,0.0,0.0,0.0,,4,2026-06-03 09:00:00,0.0
E7,179,12,persistence,0,4,4,0.0,0.0,0.0,1.0,4,2026-06-03 09:00:00,0.0
E7,179,24,lstm,0,0,4,0.0,0.0,0.0,,4,2026-06-03 09:00:00,0.0
E7,179,24,persistence,1,2,3,0.2857142857142857,0.16666666666666666,0.25,0.6666666666666666,4,2026-06-03 09:00:00,0.0
E2,181,1,lstm,0,0,143,0.0,0.0,0.0,,143,2026-01-11 01:00:00,0.0
E2,181,1,persistence,109,23,34,0.7927272727272727,0.6566265060240963,0.7622377622377622,0.17424242424242425,143,2026-01-11 01:00:00,0.0
E2,181,6,lstm,0,0,143,0.0,0.0,0.0,,143,2026-01-11 01:00:00,0.0
